sequence,target,seg_id,speaker_id,dataset,speech_register
"[4, 4, 1, 4, 4, 1, 4, 4, 1, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 1, 4, 4, 1, 4, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 1, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 1, 4, 4, 4, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 1, 4, 4, 4, 4, 4]",3,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 1, 4, 4, 4, 4, 4, 3]",1,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 4, 3, 1]",1,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 4, 3, 1, 1]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 3, 1, 1, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 3, 1, 1, 4, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 3, 1, 1, 4, 4, 4]",4,B-01_06_pass1_1167_12,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 1, 4, 4, 1, 3, 4]",3,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 1, 4, 4, 1, 3, 4, 3]",1,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
"[4, 1, 1, 4, 4, 1, 3, 4, 3, 1]",3,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
"[1, 1, 4, 4, 1, 3, 4, 3, 1, 3]",4,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
